Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,MA_50,MA_200,Price_MA50_Ratio,Price_MA200_Ratio,Volatility_20d,Volume_MA_20,Volume_Ratio,Daily_Range,Daily_Range_Abs,Gap,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Year,Month,Day,DayOfWeek,Quarter,Cumulative_Return,Drawdown
2007-09-17,4645.85009765625,4673.25,4562.7001953125,4573.5498046875,0,,,,,,,,,,2.4171553696473542,110.5498046875,,,0.0,0.0,0.0,,,,,,,2007,9,17,0,3,,0.0
2007-09-18,4577.7001953125,4593.35009765625,4558.60009765625,4576.75,0,0.06997180416008497,0.06994733530673133,,,,,,,,0.7592724094608619,34.75,0.09074768620090684,,0.25528623575519305,0.05105724715103861,0.20422898860415445,,,,,,,2007,9,18,1,3,1.0006997180416008,0.0
2007-09-19,4674.10009765625,4700.75,4650.25,4667.2998046875,0,1.978473910252898,1.9591564928525331,,,,,,,,1.0819960601048477,50.5,2.1270573585240617,,7.675733817350192,1.5759925611908694,6.099741256159323,,,,,,,2007,9,19,2,3,1.0204983008830282,0.0
2007-09-20,4666.0,4666.0,4558.2001953125,4566.0498046875,0,-2.169348536348825,-2.193224840107947,,,,,,,,2.360898573134986,107.7998046875,-0.02784917922338243,,5.325078973101881,2.325809843573072,2.9992691295288094,,,,,,,2007,9,20,3,3,0.9983601359293576,-2.169348536348825
2007-09-21,4559.14990234375,4632.10009765625,4476.85009765625,4603.85009765625,0,0.8278554677599859,0.8244475399417405,,,,,,,,3.372177562406635,155.25,-0.1511131643081635,,6.43812115277251,3.1482721054129597,3.2898490473595503,,,,,,,2007,9,21,4,3,1.0066251149025849,-1.3594521390617675
2007-09-24,4605.7001953125,4631.75,4539.9501953125,4560.25,0,-0.947035562223153,-0.9515484590963568,,,,,,,,2.01304324735486,91.7998046875,0.0401858795791778,,3.758723376200578,3.2703623595704836,0.48836101663009446,,,,,,,2007,9,24,0,3,0.9970920170861878,-2.2936132060766057
2007-09-25,4581.60009765625,4592.7001953125,4520.9501953125,4540.60009765625,0,-0.4308952874020111,-0.43182631661544774,,,,,,,,1.5801876064143072,71.75,0.4681782283043692,,0.04913207224853977,2.626116302106095,-2.576984229857555,,,,,,,2007,9,25,1,3,0.9927955945735017,-2.7146254222623956
2007-09-26,4608.14990234375,4725.0498046875,4570.75,4703.39990234375,0,3.585424859844699,3.5226447258956193,,,,,,,,3.2806014349451953,154.2998046875,1.487684518228496,,10.129076215765053,4.126708284837887,6.002367930927166,,,,,,,2007,9,26,2,3,1.028391534628783,0.0
2007-09-27,4754.25,4841.0,4745.5498046875,4816.2001953125,0,2.398271363498994,2.3699645258996576,,,,,,,,1.981856888037992,95.4501953125,1.0811348962887655,,26.90935125203032,8.683236878276375,18.226114373753944,,,,,,,2007,9,27,3,3,1.053055154308433,0.0
2007-09-28,4790.64990234375,4882.85009765625,4769.4501953125,4804.2001953125,0,-0.24915907797352643,-0.24946999576485285,,,,,,,,2.3604324910189063,113.39990234375,-0.5305072865039441,,38.792366152215436,14.705062733064189,24.087303419151247,,,,,,,2007,9,28,4,3,1.0504313717954055,-0.24915907797352643
