Open,High,Low,Close,Volume,Daily_Return,Log_Return,MA_50,MA_200,Price_MA50_Ratio,Price_MA200_Ratio,Volatility_20d,Volume_MA_20,Volume_Ratio,Daily_Range,Daily_Range_Abs,Gap,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Year,Month,Day,DayOfWeek,Quarter,Cumulative_Return,Drawdown,Day_Name_Friday,Day_Name_Monday,Day_Name_Thursday,Day_Name_Tuesday,Day_Name_Wednesday,Quarter_Name_Q1,Quarter_Name_Q2,Quarter_Name_Q3,Quarter_Name_Q4,Trend_Down,Trend_Up
-1.002740384889514,-1.0039790467332512,-1.0063925264332145,-1.0089581383437753,-0.01570881308551959,,,,,,,,,,0.5468192709731824,-0.6554884132010044,,,-0.10746598478835238,-0.11128129629915048,-0.006685481643357306,,,,,,,-1.7688814024418122,0.723546938789711,0.14121469715846807,-1.409984739386582,0.44763891339852124,,1.161844797386269,0,1,0,0,0,0,0,1,0,1,0
-1.008501789208061,-1.010683474472148,-1.0067421484450387,-1.008687394018739,-0.01570881308551959,0.010558674285741056,0.018288632512913995,,,,,,,,-0.8886351743060772,-0.9608593966262837,0.022449746248385877,,-0.10672782856285885,-0.11112574728018146,-0.004550467374735402,,,,,,,-1.7688814024418122,0.723546938789711,0.25519635690276193,-0.7014879771056649,0.44763891339852124,-1.0089063974630437,1.161844797386269,0,0,0,1,0,0,0,1,0,0,1
-1.0003521250916059,-1.0016715124633537,-0.9989270118489452,-1.0010266597952602,-0.01570881308551959,1.242517628533317,1.2370225401875088,,,,,,,,-0.6092094789834416,-0.8974081382915602,2.5873644108192453,,-0.08527171847490507,-0.10647993879410236,0.057081345513798454,,,,,,,-1.7688814024418122,0.723546938789711,0.3691780166470558,0.007008785175252158,0.44763891339852124,-1.0012456482315542,1.161844797386269,0,0,0,0,1,0,0,1,0,0,1
-1.0010369087231652,-1.0045873966771333,-1.006776248769879,-1.0095926566276567,-0.01570881308551959,-1.4349470634923238,-1.441689823587003,,,,,,,,0.49811012167245855,-0.6665672043388132,-0.1269336424539107,,-0.09206860081419552,-0.10419557468932503,0.024668942773798847,,,,,,,-1.7688814024418122,0.723546938789711,0.48315967639134966,0.7155055474561692,0.44763891339852124,-1.0098116618454456,0.980721937933147,0,0,1,0,0,0,0,1,0,1,0
-1.0100700341261737,-1.0074319489100196,-1.013713104227778,-1.006394659691025,-0.01570881308551959,0.4997808567864133,0.5050187433973216,,,,,,,,1.3737116903164912,-0.47540691222411324,-0.28219568695262437,,-0.08885025646542838,-0.10168989322181869,0.027706671526136168,,,,,,,-1.7688814024418122,0.723546938789711,0.5971413361356435,1.4240023097370862,0.44763891339852124,-1.0066136586436736,1.0483416628779938,1,0,0,0,0,0,0,1,0,0,1
-1.0061346644526121,-1.007461325722369,-1.0083324560241298,-1.0100833342432778,-0.01570881308551959,-0.6459306885248673,-0.6406810512902719,,,,,,,,0.19692452190673196,-0.7310256255042467,-0.04123738397248747,,-0.0965976939388953,-0.10131793781255614,-0.0015801450020204817,,,,,,,-1.7688814024418122,0.723546938789711,0.939086315368525,-1.409984739386582,0.44763891339852124,-1.0103023404223446,0.9703468543848046,0,1,0,0,0,0,0,1,0,1,0
-1.0081720908015708,-1.0107380079968857,-1.009952617001158,-1.0117457638850897,-0.01570881308551959,-0.3127565038154335,-0.30540689962693773,,,,,,,,-0.17785739507637363,-0.811799297681219,0.49785736496958677,,-0.10732392015688343,-0.1032806727386442,-0.03362533057647584,,,,,,,-1.7688814024418122,0.723546938789711,1.053067975112819,-0.7014879771056649,0.44763891339852124,-1.0119647733209935,0.9351957778369074,0,0,0,1,0,0,0,1,0,1,0
-1.0059275658041382,-0.999632507660873,-1.0057061064633521,-0.9979725035268884,-0.01570881308551959,2.2798220177012216,2.2456330035917724,,,,,,,,1.2944217992911344,-0.47923491782677236,1.7820169744779581,,-0.07817791665163025,-0.09870902769683,0.05606340266359532,,,,,,,-1.7688814024418122,0.723546938789711,1.1670496348571129,0.007008785175252158,0.44763891339852124,-0.998191485979838,1.161844797386269,0,0,0,0,1,0,0,1,0,0,1
-0.9935762387350096,-0.9899030876868768,-0.9908006421293091,-0.9884293237514443,-0.01570881308551959,1.513501469654478,1.5020359069817033,,,,,,,,0.16992225504680938,-0.7163194744839592,1.2699312630746928,,-0.029658009391957778,-0.08482728529663691,0.18385071263277628,,,,,,,-1.7688814024418122,0.723546938789711,1.2810312946014066,0.7155055474561692,0.44763891339852124,-0.9886482875085171,1.161844797386269,0,0,1,0,0,0,0,1,0,0,1
-0.990498984808802,-0.9863914318854096,-0.9887626168542378,-0.9894445530056543,-0.01570881308551959,-0.19544379569650086,-0.18776834668443765,,,,,,,,0.4977065710832684,-0.6440063635079308,-0.7600766109094186,,0.004701545482812146,-0.06648142537701221,0.24512370981374104,,,,,,,-1.7688814024418122,0.723546938789711,1.3950129543457004,1.4240023097370862,0.44763891339852124,-0.9896635187516447,1.141042052274032,1,0,0,0,0,0,0,1,0,1,0
-0.9885799064417399,-0.9922232003129685,-0.9950258347595222,-0.9925959938155977,-0.01570881308551959,-0.5351142987397801,-0.5289726844025292,,,,,,,,0.5854254723475342,-0.6280924039367529,0.14804169865692743,,0.021751086811255642,-0.04821194863059933,0.24407529969987035,,,,,,,-1.7688814024418122,1.0133396403721533,-1.6824918587502335,-1.409984739386582,1.3440734298942676,-0.9928149657355209,1.0764668643214625,0,1,0,0,0,0,0,0,1,1,0
-0.9951317696041428,-0.9812896997792467,-0.9916277519619741,-0.9796391387207,-0.01570881308551959,2.039252397535134,2.013118623805292,,,,,,,,2.110806185148391,-0.26370207205485435,-0.9136250128557465,,0.06896194732021306,-0.023647791602419695,0.330473994510413,,,,,,,-1.7688814024418122,1.0133396403721533,-1.4545285392616458,0.007008785175252158,1.3440734298942676,-0.9798580852570744,1.161844797386269,0,0,0,0,1,0,0,0,1,0,1
-0.9797919805547639,-0.983060216086155,-0.9824610516972099,-0.9806628364806518,-0.01570881308551959,-0.19336064336178996,-0.18568134549581636,,,,,,,,-0.14885331875360566,-0.7817870255950062,-0.16354511134289754,,0.1011489331162151,0.0027861823149222106,0.3561384812717627,,,,,,,-1.7688814024418122,1.0133396403721533,-1.340546879517352,0.7155055474561692,1.3440734298942676,-0.9808817850225348,1.141311491838386,0,0,1,0,0,0,0,0,1,1,0
-0.9805021097255227,-0.9838993194570269,-0.9825164699296427,-0.9840088463737384,-0.01570881308551959,-0.5547765930993884,-0.5487791325541439,,,,,,,,-0.303791016774347,-0.8194553088865372,-0.06875999932630007,0.820606928465514,0.11486673129879937,0.026824063953254804,0.3232505129738841,,,,,,-0.7882363420270548,-1.7688814024418122,1.0133396403721533,-1.226565219773058,1.4240023097370862,1.3440734298942676,-0.9842278014707311,1.0741973042443655,1,0,0,0,0,0,0,0,1,1,0
-0.9823323961466277,-0.981268722194975,-0.9821882074619491,-0.9816865342406037,-0.01570881308551959,0.3293485298695257,0.33587110369352796,,,,,,,,0.1755879401335478,-0.7086654303935447,0.3945428089554172,0.8792883055243563,0.12941213015613795,0.04911946909595115,0.2993338582397117,,,,,,-0.7922567579443925,-1.7688814024418122,1.0133396403721533,-0.8846202405401766,-1.409984739386582,1.3440734298942676,-0.9819054847879951,1.1207781862905035,0,1,0,0,0,0,0,0,1,0,1
-0.9815208022603121,-0.9744342088504865,-0.9792846834659311,-0.9715765429174295,-0.01570881308551959,1.5409657080706871,1.5288343759862697,,,,,,,,0.9528577088730646,-0.517707751113929,-0.06740901102411463,1.0910457426474975,0.16567247140700697,0.07459680511823656,0.3430079866573498,,,,,,-0.7587525483539724,-1.7688814024418122,1.0133396403721533,-0.7706385807958828,-0.7014879771056649,1.3440734298942676,-0.9717954736585134,1.161844797386269,0,0,0,1,0,0,0,0,1,0,1
-0.9705136969151029,-0.9608407342423634,-0.9667966781801823,-0.9583616256012163,-0.01570881308551959,1.9757778007501756,1.951629423385951,,,,,,,,1.1377273170984463,-0.4550610427748311,0.20072569051837616,1.1895692802027296,0.2269979784869425,0.10790157851183367,0.4504447971577212,,,,,,-0.7441476993207763,-1.7688814024418122,1.0133396403721533,-0.6566569210515889,0.007008785175252158,1.3440734298942676,-0.9585805304531861,1.161844797386269,0,0,0,0,1,0,0,0,1,0,1
-0.9635222083577932,-0.9673521845946974,-0.9776346690909659,-0.9773379771970279,-0.01570881308551959,-2.8342895724453148,-2.88723303512511,,,,,,,,2.125703605910325,-0.2556447694091752,-1.5982698248616904,0.7412715929206213,0.2194964253243287,0.13296462178258572,0.33732154169117223,,,,,,-0.6946375258243291,-1.7688814024418122,1.0133396403721533,-0.542675261307295,0.7155055474561692,1.3440734298942676,-0.9775569192252369,0.7997278600100227,0,0,1,0,0,0,0,0,1,1,0
-0.9813475114238972,-0.9846838483313166,-0.9859699709596236,-0.9832135917198975,-0.01570881308551959,-0.9407707594853117,-0.9388397804987686,,,,,,,,0.24674565634644696,-0.6939612464881609,-1.3241236195060955,0.46068535823714873,0.19387382121759297,0.14761569675879424,0.1944103165312456,,,,,,-0.6977291695963712,-1.7688814024418122,1.0133396403721533,-0.4286936015630012,1.4240023097370862,1.3440734298942676,-0.9834325452589207,0.6876062266453367,1,0,0,0,0,0,0,0,1,1,0
-0.9819519653823591,-0.9793303852138923,-0.980785472487749,-0.9802779119123441,-0.01570881308551959,0.4245901311875585,0.4304494572628155,,,,,,-0.07051035776594912,,0.286957277796238,-0.6818752925196422,0.2670770757316098,0.6537264396601877,0.17836888500229217,0.15606925703521005,0.10934528428770884,-0.9920879632368556,-0.9804226569808989,-1.003255377375968,-0.5738602118677476,0.38413770987219004,-0.6940131886800616,-1.7688814024418122,1.0133396403721533,-0.08674862233011962,-1.409984739386582,1.3440734298942676,-0.9804968597001283,0.7436264461096055,0,1,0,0,0,0,0,0,1,0,1
-0.9801808323125124,-0.980307932446589,-0.9848699752551595,-0.986716124384965,-0.01570881308551959,-1.0345606654705866,-1.0339750015109108,,,,,0.9518450393870528,-0.07051035776594912,,0.9647571327696298,-0.5358366820667071,-0.08799905137837549,0.4856779236122249,0.1454106492464078,0.15588693421839564,-0.009187984185476587,-0.9909742653675437,-0.9804616155069906,-1.0008764075968668,-0.5925056184212202,0.007929147739215507,-0.6731492036169364,-1.7688814024418122,1.0133396403721533,0.027233037414174228,-0.7014879771056649,1.3440734298942676,-0.9869350847857388,0.6207690163770329,0,0,0,1,0,0,0,0,1,1,0
-0.9945653752338598,-0.9851495752852569,-1.0055824459447005,-0.9827863659326644,-0.01570881308551959,0.5853456639918198,0.589771647072013,,,,,0.9584452019099454,-0.07051035776594912,,4.224833818618417,0.21026836265424256,-2.5373669756663526,0.2616156703697881,0.12742096210740245,0.15195017359307667,-0.06072015291877169,-0.9896773540426129,-0.9803966009118796,-0.9982274202478034,-0.6123499006075213,0.16044401642841608,-0.6302028985964888,-1.7688814024418122,1.0133396403721533,0.14121469715846807,0.007008785175252158,1.3440734298942676,-0.983005318634717,0.695758778670939,0,0,0,0,1,0,0,0,1,0,1
-0.9779489800846795,-0.9734147064492461,-0.982175383408163,-0.9809758820246135,-0.01570881308551959,0.24829411830966067,0.25527178102079556,,,,,0.9047429746570217,-0.07051035776594912,,1.8224588786187732,-0.33218914454312737,1.357881485172729,0.05008453729881351,0.11558579951394092,0.1463067836466566,-0.08414478121890037,-0.9886733753326558,-0.9798505627005597,-0.9967216973861084,-0.6193209971482513,0.2106851779693038,-0.6139991337371803,-1.7688814024418122,1.0133396403721533,0.25519635690276193,0.7155055474561692,1.3440734298942676,-0.9811948311797785,0.7303074053994345,0,0,1,0,0,0,0,0,1,0,1
-0.976237041645471,-0.9782647075441473,-0.9846184489274913,-0.9818430570125846,-0.01570881308551959,-0.1695208487256139,-0.16180231060276715,,,,,0.7874448286263839,-0.07051035776594912,,1.3138139624606207,-0.4496219700660169,1.3220221898910507,0.055328324489244435,0.10140707319599598,0.1388042394491135,-0.10966291614527378,-0.9872839026876519,-0.9803660649043516,-0.993240379024871,-0.6504866615258128,0.1034395827021739,-0.5993028203534065,-1.7688814024418122,1.0133396403721533,0.3691780166470558,1.4240023097370862,1.3440734298942676,-0.9820620078666169,0.7137595063352828,1,0,0,0,0,0,0,0,1,1,0
-0.9876710996159872,-0.9884052799755019,-0.9879141891139802,-0.9892076827035856,-0.01570881308551959,-1.1827704720903114,-1.1845973288361695,,,,,0.8682826695024497,-0.07051035776594912,,-0.1149851952266777,-0.7807778956493926,-1.8921622757161014,-0.0872408066084516,0.06783917923602846,0.12572856196222137,-0.18615789613650374,-0.986423319662829,-0.9812203063614564,-0.9904961022038259,-0.6788448048223656,-0.4076072832163746,-0.6001252558959981,-1.7688814024418122,1.0133396403721533,0.7111229958799373,-1.409984739386582,1.3440734298942676,-0.9894266479855277,0.5732237617964668,0,1,0,0,0,0,0,0,1,1,0
-0.9863353814443072,-0.9857705035853332,-0.9863920821845699,-0.9891865320941229,-0.01570881308551959,-0.03125174931259996,-0.02347965171856457,,,,,0.8407512838391943,-0.07051035776594912,,0.12898648415388544,-0.7261904570708777,0.7702288932696186,-0.5389047320836478,0.03959943250463684,0.10931715923578841,-0.2319429549547769,-0.9853769789819876,-0.9829961595699703,-0.9863490311214143,-0.7258032199089357,-0.516808603555112,-0.6350914078704462,-1.7688814024418122,1.0133396403721533,0.8251046556242312,-0.7014879771056649,1.3440734298942676,-0.9894054973346292,0.5736273690907138,0,0,0,1,0,0,0,0,1,0,1
-0.9845769211440603,-0.9862613872516621,-0.9912866654404945,-0.9934504866998479,-0.01570881308551959,-0.7113718503423424,-0.7067399184511379,,,,,0.8654002153982149,-0.07051035776594912,,1.0850367734143107,-0.5185142682244583,1.3086402905587122,-0.6379665029597825,0.004173087160536332,0.0887227701184339,-0.28935723946303643,-0.9844609013616153,-0.9857444222015673,-0.9814062222765947,-0.7871181136410631,-1.0604830122057418,-0.6151868317919968,-1.7688814024418122,1.0133396403721533,0.939086315368525,0.007008785175252158,1.3440734298942676,-0.9936694602937933,0.49226029622949724,0,0,0,0,1,0,0,0,1,1,0
-0.9932676753709788,-0.9942286491749832,-0.9930006335382371,-0.9926594456439858,-0.01570881308551959,0.09227318653336081,0.09984279369829636,,,,,0.6247456910894653,-0.07051035776594912,,-0.279855136582467,-0.8200572460470786,-0.06405680983809725,-0.5036596461836755,-0.022698145535662167,0.06658478015130233,-0.3105441930110172,-0.9841948669433888,-0.9862585364701951,-0.9802830036223594,-0.8001170330083258,-1.0552498885245851,-0.6152323408835038,-1.7688814024418122,1.0133396403721533,1.053067975112819,0.7155055474561692,1.3440734298942676,-0.9928784176882165,0.5073553666934564,0,0,1,0,0,0,0,0,1,0,1
-0.9925194866120414,-0.9895968231508775,-0.991047921530074,-0.9877144579374753,-0.01570881308551959,0.7570054517312729,0.7594675629739748,,,,,0.5344976451226107,-0.07051035776594912,,0.2844603412858882,-0.6899325951653213,-0.07732511552447388,-0.40240779428215334,-0.031235126536998434,0.04707542073161057,-0.27446448152896286,-0.9841590723190649,-0.9862676333410273,-0.9801979189103434,-0.8008490921870656,-0.59360043246557,-0.6138160563135039,-1.7688814024418122,1.0133396403721533,1.1670496348571129,1.4240023097370862,1.3440734298942676,-0.9879334202940668,0.601718279111248,1,0,0,0,0,0,0,0,1,0,1
-0.9864959995111224,-0.9848768666897236,-0.9830494176194545,-0.9846560880711246,-0.01570881308551959,0.4490563974062946,0.4547229755089733,,,,,0.5434496068672585,-0.07051035776594912,,-0.39802225654966483,-0.8412096326068902,0.2566809702216503,-0.6908308249438367,-0.030454044992875264,0.03163252771355825,-0.21864951176627878,-0.9839193052186246,-0.9862783451403336,-0.9796831971578996,-0.8049025929605331,-0.3296511982699303,-0.6346800413766291,-1.7688814024418122,1.0133396403721533,1.5089946140899944,-1.409984739386582,1.3440734298942676,-0.9848750444361172,0.6600797362003514,0,1,0,0,0,0,0,0,1,0,1
